id,outlet_id,dsp_id,action_type,description,priority,status,due_date,created_at
5d4ff2a5-f4b1-58cd-9096-627db50a1fc6,f08a11c8-f9c0-5650-a8c7-d51d9e7f9892,fbcd212e-451d-5600-a271-8fec64b3a9b9,upsell_product,Investigate declining transaction volume trend,medium,pending,2025-08-18T00:00:00,2025-07-30T00:00:00
5b82bfbd-4f09-53ae-841b-25636506bdb9,c71b76d5-d661-5b5a-8076-27b96aaa95b0,f81e0179-c82e-5d0d-82b4-c2bf0fde0a92,visit_merchant,Provide updated marketing collateral and QR standee,medium,pending,2025-08-23T00:00:00,2025-07-21T00:00:00
6275586e-21de-5ce9-a2e2-e85b75728d6c,c0df7fa1-c35b-5e76-9f7f-be2d4e7b9137,d9bae779-a771-5de7-a713-f7d02913bd5b,visit_merchant,Activate GCredit for this merchant to increase transaction volume,low,pending,2025-08-19T00:00:00,2025-07-18T00:00:00
55cb6e39-02a5-5e77-998c-e4c744609049,898a0e5b-d908-5060-b440-eb62c6d0ca9d,54684399-5e5a-54ab-a9b2-5e8ff35f0223,upsell_product,Upsell Buy Load service - high foot traffic area,medium,completed,2025-08-18T00:00:00,2025-07-26T00:00:00
e60b4254-49de-554e-b501-99bbd47ad5fb,0c5a8d1c-ccf3-5d8e-ae35-290e69f09907,25c743f6-6b99-5904-8a4a-4b29b700d9e7,follow_up,Offer promotional rates for Cash-In to combat Maya competition,high,pending,2025-08-20T00:00:00,2025-07-25T00:00:00
1dd114fa-21e6-5be8-98b1-9841d4a9a389,ef1b6e73-f031-5894-824a-4ff1e58fc120,c928179a-f72b-50f2-bd6c-8efebcd2d268,visit_merchant,Re-engage merchant - no transactions in 14 days,low,in_progress,2025-08-26T00:00:00,2025-07-25T00:00:00
80b6ad3a-b5ab-54c2-b905-305304f6a551,09061ab6-5483-56c6-aaa2-ede27655cf83,7a052b5f-cf18-5b63-91b4-4c385d96d71f,upsell_product,Conduct training on new GInsure products,high,completed,2025-08-25T00:00:00,2025-07-19T00:00:00
6f082313-d587-50ee-adf5-0ec62658c25c,ebf3f030-639e-5ef4-8c63-5a827b9d67f8,25c743f6-6b99-5904-8a4a-4b29b700d9e7,visit_merchant,Investigate declining transaction volume trend,high,pending,2025-08-29T00:00:00,2025-08-01T00:00:00
65014bd4-0f90-554c-ae01-3baa7cf5cf8e,333d8189-e00e-50ef-87ca-202547a01397,1c629fb9-bb65-504f-8efa-b901acda8a1d,resolve_issue,Conduct training on new GInsure products,medium,completed,2025-08-25T00:00:00,2025-07-30T00:00:00
9c2e3bc2-b870-5b5a-ba90-cc5507e7ff18,32e6d130-f7e0-54cd-bba3-6c9d8057d4e0,229ec319-00c3-5250-afbc-759d6132ee64,reactivation,Offer promotional rates for Cash-In to combat Maya competition,medium,pending,2025-08-19T00:00:00,2025-07-28T00:00:00
0e8d1fce-ce0c-5ccf-87ca-d6b6b6276e01,a1350aa4-ee6f-5577-9815-4d137cb0696d,24c3eae6-21de-5fa7-ad75-775edd1167e0,follow_up,Offer promotional rates for Cash-In to combat Maya competition,low,in_progress,2025-08-23T00:00:00,2025-07-25T00:00:00
87500a96-c815-508a-8180-289ce3ea5b77,21c5f5ce-b3d2-5d73-a06e-3d9b872b6ed4,ea60bf00-905e-5abc-b08e-4c17000dd149,reactivation,Follow up on pending Bills Payment activation,low,in_progress,2025-08-12T00:00:00,2025-07-28T00:00:00
62a474a9-1df4-5964-9a87-b1afe19397a6,d38029ff-40eb-5673-b670-dcdf1fd1b2b1,f81e0179-c82e-5d0d-82b4-c2bf0fde0a92,training,Offer promotional rates for Cash-In to combat Maya competition,medium,in_progress,2025-08-13T00:00:00,2025-07-21T00:00:00
