id,outlet_id,priority_score,transaction_score,engagement_score,product_adoption_score,risk_score,contributing_factors,scored_at
97243e72-ec30-5478-8d44-644316c391a2,64375d9c-4b5c-56d7-afec-88a80e128c44,34.4,39.9,43.4,52.6,23.2,inactive_products|low_transaction_volume|product_gap,2025-07-27T00:00:00
0c4f9d2c-bc01-59b5-9cbd-4b462161fabf,ebf3f030-639e-5ef4-8c63-5a827b9d67f8,47.0,61.6,44.9,16.4,53.9,inactive_products|low_transaction_volume|declining_revenue,2025-07-28T00:00:00
4b38a39d-f4d8-57e6-990e-d85ec5539726,66d5a328-8eb1-5975-be4b-a35975328fcb,53.3,31.6,33.9,21.8,37.8,low_transaction_volume,2025-07-29T00:00:00
b58da31d-335c-5b61-ad0c-6c4aea874731,b9dfddd7-6ab6-5fb8-97df-7a83266a2dbf,35.8,54.3,37.9,20.6,26.2,low_transaction_volume|missed_visits|product_gap,2025-07-25T00:00:00
f2fe4eb1-abb6-5c10-890a-8fc3a747d4f6,89af9edf-f3db-5349-bcb3-f9c543399d2f,44.5,24.0,20.6,74.2,49.6,missed_visits,2025-07-27T00:00:00
aede960e-15a5-5640-bbf5-b5d90c083cad,21c5f5ce-b3d2-5d73-a06e-3d9b872b6ed4,52.4,61.7,51.7,63.3,48.3,high_churn_probability|inactive_products,2025-07-25T00:00:00
8a7d5040-9f7d-5ccb-a3ac-6a3fb4ddc37c,d8a14285-5274-5cc4-95ff-7c11b6346a04,89.2,91.4,72.3,39.8,77.8,declining_revenue|missed_visits|inactive_products,2025-08-01T00:00:00
cf917001-62cc-5eb2-a8a5-0afddcd162cb,c374b78a-8385-5dbd-ab1e-726563b1014c,83.0,82.1,64.7,52.8,68.4,product_gap|declining_revenue,2025-07-30T00:00:00
d55ceab7-9d80-56f4-b28f-4a12c6f65b45,9cf0258b-b196-5323-8d6c-3eccbf473c3f,96.8,74.7,72.9,35.3,79.7,high_churn_probability|declining_revenue|inactive_products,2025-07-28T00:00:00
0b8c8de8-42e1-5de3-89d1-c06c8a4d6850,b2ee80b3-73ea-5139-805e-52812d1d5c0b,87.4,87.5,87.4,88.2,71.8,competitor_risk,2025-07-25T00:00:00
